111,35,90,1
112,35,2,2
154,35,11,3
1105,35,44,4
111,36,90,1
335,36,75,2
1105,36,44,3
145,36,30,4
335,36,75,41
362,38,88,1
362,38,88,41
223,38,33,61
334,39,76,61
291,40,62,1
211,40,14,2
335,40,75,3
291,40,62,41
211,40,14,42
3102,40,93,43
335,40,75,44
383,41,98,1
383,41,98,41
344,41,73,42
134,43,20,1
154,43,11,2
134,43,20,61
1105,44,44,1
211,46,14,1
1105,46,44,2
145,46,30,3
211,46,14,41
355,58,90,61
141,59,3,1
146,60,31,1
294,62,56,41
293,63,55,1
394,63,81,41
344,63,73,42
374,64,89,1
313,64,67,2
371,64,87,3
324,64,79,4
341,64,78,5
393,64,85,6
2104,64,97,7
373,64,97,8
271,64,97,9
215,64,97,10
233,64,12,11
273,64,12,12
382,64,97,41
332,64,97,42
3105,64,98,61
3104,64,97,62
215,64,97,63
313,65,67,1
242,65,19,2
274,65,59,3
371,65,87,4
323,65,99,5
394,65,81,41
374,66,89,1
244,66,36,2
323,66,99,3
324,66,79,4
341,66,78,5
393,66,85,6
2104,66,97,7
373,66,97,8
271,66,97,9
215,66,97,10
233,66,12,11
273,66,12,12
382,66,97,41
332,66,97,42
3105,66,98,61
3104,66,97,62
215,66,97,63
113,67,10,1
113,67,10,41
224,67,26,61
115,68,22,1
115,68,22,41
174,69,33,1
174,70,33,1
291,82,62,1
141,82,3,2
291,82,62,41
113,83,10,1
112,83,2,2
383,83,98,3
145,83,30,4
113,83,10,41
394,83,81,42
383,83,98,43
334,83,76,61
355,83,90,62
115,84,22,1
294,84,56,41
115,84,22,42
224,84,26,61
223,86,33,61
224,86,26,62
293,87,55,1
335,87,75,2
335,87,75,41
223,87,33,61
284,88,56,1
374,88,89,2
242,88,19,3
284,88,56,41
374,89,89,1
244,89,36,2
313,89,67,3
291,90,62,1
245,90,39,2
291,90,62,41
174,91,33,1
154,91,11,2
274,91,59,3
1102,91,87,4
192,91,87,61
146,92,31,1
146,106,31,1
141,106,3,2
362,106,88,3
154,106,11,4
362,106,88,41
334,106,76,61
355,106,90,62
134,107,20,1
145,107,30,2
272,107,57,3
272,107,57,41
134,107,20,61
141,108,3,1
335,108,75,2
3102,108,93,41
335,108,75,42
224,108,26,61
272,112,57,1
284,112,56,2
244,112,36,3
242,112,19,4
274,112,59,5
371,112,87,6
323,112,99,7
324,112,79,8
341,112,78,9
393,112,85,10
272,112,57,41
284,112,56,42
3105,112,98,61
3104,112,97,62
244,113,36,1
313,113,67,2
242,113,19,3
274,113,59,4
371,113,87,5
323,113,99,6
324,113,79,7
341,113,78,8
393,113,85,9
3105,113,98,61
3104,113,97,62
223,114,33,61
146,115,31,1
112,115,2,2
294,116,56,41
112,117,2,1
294,117,56,41
245,134,39,1
334,134,76,61
355,136,90,61
293,141,55,1
133,141,57,2
133,141,57,61
394,152,81,41
291,153,62,1
245,153,39,2
291,153,62,41
293,154,55,1
3102,154,93,41
174,155,33,1
245,156,39,1
3102,156,93,41
